,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,charges_range,Product_Category_Grade,Selling_Price,test_or_train
0,30.0,89.0,1.0,3.0,1.0,68.0,0.0,376.0,11.0,2983.0,4713.0,2.0,13.0,4185.9477,1.0
1,31.0,123.0,1.0,3.0,0.0,51.0,0.0,397.0,12.0,7495.0,10352.0,2.0,12.0,9271.490256000001,1.0
2,49.0,189.0,1.0,0.0,0.0,10.0,0.0,250.0,9.0,5752.0,7309.0,1.0,0.0,6785.701362000001,1.0
3,45.0,116.0,1.0,2.0,2.0,48.0,0.0,144.0,13.0,5090.0,20814.0,0.0,10.0,13028.91782,1.0
4,47.0,230.0,1.0,8.0,1.0,35.0,1.0,211.0,4.0,2430.0,9261.0,1.0,33.0,906.5539349999999,1.0
5,15.0,54.0,0.0,9.0,1.0,49.0,0.0,633.0,6.0,3959.0,6104.0,3.0,37.0,5631.247872,1.0
6,26.0,206.0,0.0,1.0,3.0,57.0,0.0,263.0,13.0,2006.0,5257.0,1.0,7.0,3874.2649920000003,1.0
7,33.0,116.0,1.0,2.0,1.0,67.0,0.0,104.0,15.0,3596.0,5921.0,0.0,9.0,4820.9436,1.0
8,18.0,51.0,1.0,0.0,0.0,53.0,0.0,310.0,6.0,6965.0,10194.0,2.0,0.0,8837.724240000001,1.0
9,44.0,139.0,1.0,0.0,0.0,84.0,1.0,321.0,8.0,1103.0,5430.0,2.0,0.0,530.7618623999999,1.0
10,7.0,144.0,1.0,1.0,0.0,6.0,0.0,247.0,17.0,1573.0,2915.0,1.0,4.0,2494.560519,1.0
11,0.0,137.0,1.0,8.0,2.0,22.0,0.0,274.0,1.0,3256.0,6033.0,1.0,34.0,4906.6626,1.0
12,32.0,77.0,1.0,5.0,0.0,68.0,0.0,253.0,11.0,2699.0,4909.0,1.0,20.0,4020.5682,1.0
13,40.0,158.0,1.0,6.0,3.0,39.0,0.0,117.0,9.0,7106.0,18697.0,0.0,27.0,12997.53473,1.0
14,6.0,123.0,0.0,2.0,0.0,16.0,0.0,129.0,10.0,2915.0,4273.0,0.0,8.0,3726.2173409999996,1.0
15,8.0,144.0,1.0,2.0,0.0,57.0,0.0,120.0,10.0,1806.0,2510.0,0.0,8.0,2265.566976,1.0
16,5.0,143.0,0.0,5.0,2.0,29.0,0.0,273.0,9.0,1876.0,4092.0,1.0,22.0,3251.540775,1.0
17,29.0,199.0,1.0,5.0,0.0,56.0,0.0,318.0,8.0,4184.0,6956.0,2.0,20.0,5854.748256,1.0
18,16.0,37.0,1.0,6.0,0.0,7.0,1.0,139.0,7.0,5821.0,19237.0,0.0,24.0,1901.325348,1.0
19,1.0,130.0,1.0,6.0,0.0,72.0,0.0,124.0,6.0,3801.0,6159.0,0.0,24.0,5055.9201,1.0
20,19.0,194.0,0.0,0.0,0.0,16.0,0.0,317.0,16.0,4757.0,7174.0,2.0,0.0,6291.410796,1.0
21,34.0,87.0,1.0,8.0,0.0,93.0,0.0,215.0,7.0,3165.0,4178.0,1.0,32.0,3833.0673920000004,1.0
22,9.0,194.0,1.0,5.0,0.0,22.0,0.0,297.0,11.0,8289.0,11444.0,1.0,20.0,10148.91413,1.0
23,25.0,101.0,1.0,1.0,0.0,84.0,0.0,253.0,17.0,5176.0,7755.0,1.0,4.0,6632.585344,1.0
24,49.0,141.0,1.0,2.0,0.0,81.0,0.0,134.0,12.0,5673.0,9323.0,0.0,8.0,7530.9696,1.0
25,49.0,121.0,1.0,7.0,0.0,8.0,0.0,130.0,8.0,1266.0,8600.0,0.0,28.0,5066.443305,1.0
26,10.0,158.0,1.0,7.0,3.0,80.0,0.0,153.0,6.0,9673.0,15573.0,0.0,31.0,12495.93968,1.0
27,29.0,116.0,1.0,5.0,2.0,27.0,0.0,251.0,7.0,1077.0,2207.0,1.0,22.0,1889.414625,1.0
28,17.0,230.0,1.0,7.0,1.0,44.0,0.0,147.0,5.0,5824.0,8860.0,0.0,29.0,7444.716912000001,1.0
29,7.0,144.0,1.0,1.0,0.0,66.0,0.0,266.0,13.0,990.0,3013.0,1.0,4.0,2247.399,1.0
30,28.0,57.0,1.0,1.0,0.0,23.0,0.0,222.0,14.0,4818.0,7435.0,1.0,4.0,6341.1873,1.0
31,8.0,4.0,0.0,8.0,0.0,19.0,0.0,231.0,9.0,950.0,1580.0,1.0,32.0,1563.9835859999998,1.0
32,26.0,4.0,0.0,6.0,0.0,85.0,0.0,104.0,9.0,1179.0,1753.0,0.0,24.0,1548.692992,1.0
33,21.0,177.0,0.0,8.0,0.0,12.0,0.0,280.0,8.0,4843.0,8913.0,1.0,32.0,7162.78365,1.0
34,48.0,194.0,0.0,4.0,0.0,45.0,0.0,262.0,13.0,4526.0,6800.0,1.0,16.0,5894.392896,1.0
35,17.0,10.0,1.0,7.0,3.0,85.0,1.0,166.0,7.0,558.0,1469.0,0.0,31.0,174.4822464,1.0
36,13.0,185.0,1.0,9.0,0.0,40.0,1.0,613.0,13.0,5658.0,8363.0,3.0,36.0,1119.131441,1.0
37,34.0,123.0,1.0,2.0,0.0,88.0,1.0,170.0,16.0,7236.0,9829.0,0.0,8.0,1288.595616,1.0
38,19.0,158.0,1.0,0.0,3.0,71.0,0.0,310.0,8.0,4293.0,19849.0,2.0,3.0,12266.7534,1.0
39,15.0,185.0,1.0,5.0,0.0,34.0,1.0,339.0,5.0,5975.0,8226.0,2.0,20.0,1113.666356,1.0
40,15.0,194.0,0.0,4.0,0.0,31.0,0.0,222.0,13.0,6057.0,7466.0,1.0,16.0,6974.809275,1.0
41,0.0,101.0,1.0,8.0,0.0,15.0,0.0,260.0,8.0,497.0,7855.0,1.0,32.0,4438.896065999999,1.0
42,30.0,116.0,0.0,9.0,2.0,31.0,0.0,521.0,7.0,4306.0,13430.0,3.0,38.0,9371.721975,1.0
43,16.0,224.0,1.0,3.0,1.0,55.0,0.0,374.0,17.0,3538.0,4756.0,2.0,13.0,4499.070479999999,1.0
44,29.0,229.0,1.0,8.0,0.0,71.0,1.0,251.0,1.0,1968.0,6703.0,1.0,32.0,681.159105,1.0
45,33.0,224.0,0.0,2.0,0.0,48.0,0.0,134.0,13.0,3218.0,4443.0,0.0,8.0,3944.075328,1.0
46,31.0,141.0,0.0,9.0,0.0,82.0,1.0,470.0,9.0,2371.0,6303.0,3.0,36.0,711.2434559999999,1.0
47,32.0,222.0,1.0,3.0,0.0,31.0,0.0,374.0,16.0,1842.0,3179.0,2.0,12.0,2881.2987,1.0
48,36.0,224.0,1.0,3.0,0.0,57.0,0.0,363.0,11.0,7425.0,10250.0,2.0,12.0,9151.274592,1.0
49,44.0,212.0,1.0,1.0,0.0,46.0,0.0,252.0,13.0,7137.0,8866.0,1.0,4.0,8211.011040000001,1.0
50,35.0,157.0,1.0,7.0,3.0,69.0,0.0,158.0,10.0,6646.0,9290.0,0.0,31.0,8052.6303,1.0
51,23.0,212.0,0.0,9.0,0.0,14.0,0.0,477.0,8.0,3557.0,4742.0,3.0,36.0,4629.357018,1.0
52,5.0,1.0,0.0,7.0,0.0,41.0,1.0,136.0,3.0,3574.0,4756.0,0.0,28.0,641.20734,1.0
53,40.0,138.0,1.0,2.0,0.0,60.0,0.0,111.0,10.0,6659.0,9900.0,0.0,8.0,8209.80745,1.0
54,20.0,222.0,1.0,8.0,0.0,63.0,0.0,258.0,2.0,4440.0,6490.0,1.0,32.0,5666.8491,1.0
55,37.0,150.0,0.0,0.0,0.0,87.0,0.0,260.0,11.0,8257.0,15501.0,1.0,0.0,11977.08019,1.0
