,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,ide,year,weekofyear,month,dayofweek,hour
0,30,92,1,3,1,68,0,376.0,11.0,2983.0,4713.0,4185.9477,44,1,20,9,5,10
1,31,127,1,3,0,51,0,397.0,12.0,7495.0,10352.0,9271.490256000001,348,2,3,5,6,14
2,49,195,1,0,0,10,0,250.0,9.0,5752.0,7309.0,6785.701362000001,44,1,20,9,1,11
3,45,120,1,2,2,48,0,144.0,13.0,5090.0,20814.0,13028.917824,367,2,4,5,0,14
4,47,237,1,8,1,35,1,211.0,4.0,2430.0,9261.0,906.5539349999999,162,2,4,5,1,15
5,15,56,0,9,1,49,0,633.0,6.0,3959.0,6104.0,5631.247872,279,1,25,10,4,8
6,26,212,0,1,3,57,0,263.0,13.0,2006.0,5257.0,3874.2649920000003,282,0,38,3,0,4
7,33,120,1,2,1,67,0,104.0,15.0,3596.0,5921.0,4820.9436,282,1,25,10,1,6
8,18,53,1,0,0,53,0,310.0,6.0,6965.0,10194.0,8837.724240000001,168,2,4,5,0,14
9,44,143,1,0,0,84,1,321.0,8.0,1103.0,5430.0,530.7618623999999,44,1,20,9,2,15
10,7,149,1,1,0,6,0,247.0,17.0,1573.0,2915.0,2494.560519,247,1,25,10,4,8
11,0,141,1,8,2,22,0,274.0,1.0,3256.0,6033.0,4906.6626,315,2,4,5,1,13
12,32,80,1,5,0,68,0,253.0,11.0,2699.0,4909.0,4020.5682,345,2,4,5,1,16
13,39,78,1,1,0,38,1,291.0,17.0,3657.0,58812.0,4724.948025,126,2,1,5,3,21
14,40,164,1,6,3,39,0,117.0,9.0,7106.0,18697.0,12997.534725,168,2,4,5,0,14
15,6,127,0,2,0,16,0,129.0,10.0,2915.0,4273.0,3726.2173409999996,86,1,25,10,4,7
16,5,1,0,3,0,74,0,264.9705573080967,11.0,786.0,6363.615760927363,2582.8605,279,1,25,10,3,8
17,8,149,1,2,0,57,0,120.0,10.0,1806.0,2510.0,2265.566976,205,1,25,10,3,9
18,5,148,0,5,2,29,0,273.0,9.0,1876.0,4092.0,3251.540775,44,1,20,9,2,13
19,29,205,1,5,0,56,0,318.0,8.0,4184.0,6956.0,5854.748256,205,2,37,4,6,11
20,16,37,1,6,0,7,1,139.0,7.0,5821.0,19237.0,1901.32534845,2,2,3,5,6,11
21,1,134,1,6,0,72,0,124.0,6.0,3801.0,6159.0,5055.9201,297,1,9,7,2,8
22,19,200,0,0,0,16,0,317.0,16.0,4757.0,7174.0,6291.410796,116,1,30,1,1,16
23,34,90,1,8,0,93,0,215.0,7.0,3165.0,4178.0,3833.0673920000004,205,1,25,10,5,8
24,9,200,1,5,0,22,0,297.0,11.0,8289.0,11444.0,10148.914125,262,1,34,2,4,7
25,25,104,1,1,0,84,0,253.0,17.0,5176.0,7755.0,6632.585344,205,1,34,2,2,23
26,49,145,1,2,0,81,0,134.0,12.0,5673.0,9323.0,7530.9696,297,1,9,7,5,8
27,49,125,1,7,0,8,0,130.0,8.0,1266.0,8600.0,5066.443305,339,1,9,7,3,5
28,10,164,1,7,3,80,0,153.0,6.0,9673.0,15573.0,12495.939675,279,1,19,9,5,11
29,29,120,1,5,2,27,0,251.0,7.0,1077.0,2207.0,1889.414625,44,1,20,9,4,14
30,17,237,1,7,1,44,0,147.0,5.0,5824.0,8860.0,7444.716912000001,276,2,45,5,1,12
