,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,ide,year,weekofyear,month,dayofweek,hour,Stall_no_Market_Category,Stall_no_Loyalty_customer,Stall_no_Product_Category,Stall_no_Grade,Stall_no_Discount_avail,Stall_no_year,Stall_no_month,Market_Category_Stall_no,Market_Category_Loyalty_customer,Market_Category_Product_Category,Market_Category_Grade,Market_Category_Discount_avail,Market_Category_year,Market_Category_month,Loyalty_customer_Stall_no,Loyalty_customer_Market_Category,Loyalty_customer_Product_Category,Loyalty_customer_Grade,Loyalty_customer_Discount_avail,Loyalty_customer_year,Loyalty_customer_month,Product_Category_Stall_no,Product_Category_Market_Category,Product_Category_Loyalty_customer,Product_Category_Grade,Product_Category_Discount_avail,Product_Category_year,Product_Category_month,Grade_Stall_no,Grade_Market_Category,Grade_Loyalty_customer,Grade_Product_Category,Grade_Discount_avail,Grade_year,Grade_month,Discount_avail_Stall_no,Discount_avail_Market_Category,Discount_avail_Loyalty_customer,Discount_avail_Product_Category,Discount_avail_Grade,Discount_avail_year,Discount_avail_month,year_Stall_no,year_Market_Category,year_Loyalty_customer,year_Product_Category,year_Grade,year_Discount_avail,year_month,month_Stall_no,month_Market_Category,month_Loyalty_customer,month_Product_Category,month_Grade,month_Discount_avail,month_year
0,30,92,1,3,1,68,0,376.0,11.0,2983.0,4713.0,4185.9477,44,1,20,9,5,10,2487,61,303,121,76,87,324,1935,252,796,199,240,246,527,81,310,13,5,3,4,19,180,524,7,13,9,10,42,81,217,3,13,3,4,20,30,91,1,3,1,1,9,74,145,3,13,5,3,14,457,864,18,93,37,24,17
1,31,127,1,3,0,51,0,397.0,12.0,7495.0,10352.0,9271.490256000001,348,2,3,5,6,14,2573,63,313,124,78,91,331,1661,222,696,178,209,211,445,82,342,13,4,3,5,15,181,537,7,12,9,11,38,31,101,1,3,0,2,5,31,124,1,3,0,2,5,126,387,5,23,8,6,18,280,525,11,53,20,14,12
2,49,195,1,0,0,10,0,250.0,9.0,5752.0,7309.0,6785.701362000001,44,1,20,9,1,11,4043,99,490,196,126,142,524,2796,333,1092,261,322,341,762,100,403,10,4,3,4,19,49,107,1,0,0,1,9,49,145,1,0,0,1,9,49,192,1,0,0,1,9,93,217,3,10,4,3,14,476,913,18,90,36,24,17
3,45,120,1,2,2,48,0,144.0,13.0,5090.0,20814.0,13028.917824,367,2,4,5,0,14,3702,91,452,182,115,133,478,1608,212,669,172,200,203,427,96,335,12,6,3,5,15,145,370,5,10,6,8,27,146,290,5,22,6,8,27,45,117,1,2,2,2,5,140,381,5,22,10,6,18,294,519,11,52,22,14,12
4,47,237,1,8,1,35,1,211.0,4.0,2430.0,9261.0,906.5539349999999,162,2,4,5,1,15,3896,95,478,189,122,138,499,3557,411,1360,315,399,422,972,98,442,18,5,4,5,15,451,1393,17,33,24,26,93,98,247,3,18,4,5,16,98,412,3,18,5,5,16,142,462,5,28,9,7,18,296,594,11,58,21,15,12
5,15,56,0,9,1,49,0,633.0,6.0,3959.0,6104.0,5631.247872,279,1,25,10,4,8,1236,30,159,61,36,43,165,886,99,362,75,90,102,240,15,52,9,1,0,1,9,470,1450,18,37,26,28,109,66,209,2,19,3,4,21,15,56,0,9,1,1,10,59,117,2,19,5,3,15,493,1006,19,109,41,27,18
6,26,212,0,1,3,57,0,263.0,13.0,2006.0,5257.0,3874.2649920000003,282,0,38,3,0,4,2203,52,261,107,66,74,276,3136,366,1226,284,354,381,865,26,175,1,3,0,0,3,76,274,2,7,3,3,14,177,359,6,31,9,9,36,26,209,0,1,3,0,3,22,63,0,1,3,0,2,125,231,4,21,11,6,4
7,33,120,1,2,1,67,0,104.0,15.0,3596.0,5921.0,4820.9436,282,1,25,10,1,6,2731,67,332,133,84,96,355,1596,212,669,171,200,202,431,84,335,12,5,3,4,20,133,370,5,9,6,7,32,84,221,3,12,3,4,21,33,117,1,2,1,1,10,77,156,3,12,5,3,15,511,1025,20,102,41,27,18
8,18,53,1,0,0,53,0,310.0,6.0,6965.0,10194.0,8837.724240000001,168,2,4,5,0,14,1490,37,180,72,45,53,192,862,95,339,70,85,98,224,69,276,10,4,3,5,15,18,32,1,0,0,2,5,18,46,1,0,0,2,5,18,53,1,0,0,2,5,113,335,5,20,8,6,18,267,476,11,50,20,14,12
9,44,143,1,0,0,84,1,321.0,8.0,1103.0,5430.0,530.7618623999999,44,1,20,9,2,15,3633,89,440,176,113,129,471,1809,239,746,190,227,229,491,95,356,10,4,4,4,19,44,74,1,0,1,1,9,44,113,1,0,1,1,9,95,352,3,10,4,4,20,88,168,3,10,4,4,14,471,878,18,90,36,25,17
